#{"t_start": 1776329272.3720527, "env_id": "None"}
r,l,t
-67.149752,32,311.133951
-52.186162,30,311.311599
-58.619727,31,311.506326
-56.724,29,311.681539
-62.993869,31,311.884305
-63.907281,35,312.097895
-45.375317,22,312.21935
-57.67078,29,312.387817
-55.23428,30,312.572239
-66.006994,32,312.768385
-61.77671,31,312.999193
-53.549518,29,313.16486
-61.056988,29,313.346316
-49.477006,24,313.489236
-53.24336,31,313.668413
-43.854657,21,313.787497
-50.122895,27,313.959942
-49.234163,28,314.12553
-46.818479,23,314.261194
-53.56717,29,314.435502
-52.351009,28,314.620047
-55.343726,30,314.798934
-48.84891,28,314.966512
-53.974016,28,315.135663
-54.499738,27,315.313365
-61.873878,34,315.518105
-54.537426,30,315.698979
-55.607488,29,315.879253
-54.714991,29,316.066192
-54.960127,29,316.242357
-44.810118,22,316.377067
-56.560506,29,316.546199
-45.618158,22,316.690671
-50.870614,29,316.868167
-56.989295,28,317.037876
-46.220897,23,317.17395
-52.97912,28,317.357108
-62.30237,31,317.543226
-52.71342,27,317.700734
-58.625638,28,317.870291
-53.157859,29,318.056419
-45.644988,22,318.191592
-59.649855,30,318.378104
-45.48297,23,318.517488
-51.770876,29,318.706406
-58.528072,30,318.897414
-51.991945,27,319.055447
-62.680336,32,319.298194
-47.969556,24,319.452186
-47.818558,24,319.597661
-47.932821,24,319.737913
-50.687041,29,319.906702
-64.684008,35,320.125364
-63.728516,34,320.330051
-54.261783,29,320.502968
-49.220206,28,320.670486
-69.104024,37,320.902346
-60.914914,31,321.088618
-42.299307,21,321.21215
-65.595095,32,321.404462
-50.6558,27,321.571682
-54.088714,29,321.756597
-52.978389,29,321.934246
-57.060457,30,322.117905
-56.941864,30,322.312461
-60.294075,32,322.503789
-45.045258,23,322.641608
-60.587843,32,322.838685
-60.402712,32,323.042968
-57.927021,29,323.216168
-51.21208,28,323.380934
-53.973095,30,323.5566
-65.650872,32,323.756231
-47.796359,23,323.893765
-56.418759,31,324.071181
-52.031223,30,324.245502
-51.753527,29,324.426962
-47.437244,25,324.572025
-56.327703,30,324.746604
-54.955143,30,324.92348
-51.454581,30,325.109236
-47.982166,23,325.244292
-53.190479,30,325.420592
-55.430596,30,325.636712
-62.727918,35,325.865506
-64.146263,30,326.044825
-59.716686,29,326.216055
-55.620812,29,326.39453
-68.259853,31,326.593957
-63.415437,35,326.802327
-51.618267,28,326.972829
-67.405338,35,327.177551
-54.958632,30,327.365412
-57.300836,28,327.534726
-47.956074,24,327.676613
-58.799764,29,327.851554
-56.823148,31,328.049188
-51.929198,28,328.212976
-60.943729,30,328.397152
-46.852208,23,328.534267
-54.122253,29,328.721384
-57.981758,30,328.905624
-57.830654,30,329.08124
-61.737055,31,329.266121
-57.77217,31,329.465491
-57.598791,29,329.639544
-68.264535,37,329.858006
-51.951681,28,330.026357
-57.106489,29,330.209167
-63.287382,31,330.401116
-65.076322,31,330.582354
-67.076845,37,330.800585
-56.624385,29,330.977624
-49.876956,27,331.129147
-54.304344,28,331.282826
-64.936404,36,331.484192
-59.048113,31,331.698975
-73.323343,38,331.915266
-53.188521,31,332.093185
-58.744556,30,332.257843
-52.335007,30,332.504019
-59.800249,32,332.691978
-46.432639,23,332.824859
-49.253071,30,333.00658
-51.821369,26,333.172391
-56.768228,29,333.353813
-54.115703,30,333.524955
-53.822824,27,333.69341
-77.96178,39,333.951946
-55.595353,28,334.125278
-46.675104,23,334.261669
-57.840374,28,334.433098
-45.650915,22,334.56684
-64.483563,29,334.744368
-57.98183,29,334.919961
-67.671985,33,335.127675
-75.53448,41,335.393678
-73.559727,42,335.646208
-67.324537,38,335.875605
-72.595371,41,336.115826
-76.37438,43,336.393736
-68.597371,39,336.627049
-80.971437,52,336.940063
-65.752829,35,337.144453
-63.889243,30,337.340317
-50.038999,26,337.49948
-55.655835,28,337.665433
-48.400482,25,337.815215
-61.990506,33,338.028653
-57.014888,30,338.20122
-61.299716,30,338.379055
-55.529086,28,338.543388
-45.269659,23,338.682882
-56.181845,28,338.861614
-47.8311,25,339.012217
-60.546003,30,339.192575
-55.394748,30,339.417634
-59.216668,30,339.594759
-54.468357,30,339.763426
-58.552973,32,339.958352
-58.915332,31,340.157639
-63.468707,34,340.36112
-56.366382,30,340.537031
-59.917323,30,340.716722
-49.341421,29,340.908449
-43.91857,21,341.033389
-72.24621,38,341.260549
-61.405005,31,341.454322
-51.93198,26,341.624482
-62.257609,32,341.819369
-46.958738,23,341.964658
-53.253654,30,342.143272
-45.147223,23,342.28686
-64.614017,31,342.481944
-59.849445,30,342.66138
-61.604486,32,342.854374
-58.125923,29,343.042803
-51.290966,26,343.198055
-58.12889,31,343.381336
-56.652147,31,343.564279
-59.179333,30,343.753762
-45.992684,24,343.897636
-58.692282,31,344.076911
-56.854882,29,344.25122
-44.238362,21,344.383176
-63.405307,29,344.592914
-49.881626,30,344.76941
-53.012543,31,344.965317
-70.473509,35,345.194919
-50.2514,25,345.346855
-48.716465,26,345.499609
-59.133937,31,345.739662
-59.376951,31,345.944638
-53.167173,28,346.116348
-56.618541,30,346.30361
-45.586498,23,346.451274
-59.057051,29,346.637835
-52.247966,27,346.799947
-60.471276,33,347.005832
-53.7243,30,347.187517
-59.256312,31,347.386349
-56.484284,31,347.573485
-45.259522,22,347.707368
-63.549926,31,347.902505
-58.41785,29,348.104191
-52.625656,28,348.268147
-59.510893,30,348.446362
-45.513042,22,348.575879
-55.41917,27,348.746804
-65.232449,36,348.961524
-55.203844,28,349.125939
-57.399322,31,349.313722
-45.79833,23,349.453228
-56.965736,30,349.632002
-47.443903,24,349.77055
-50.807052,24,349.912817
-54.326324,29,350.098169
-55.482921,28,350.263805
-46.844234,23,350.403051
-62.177928,30,350.582429
-49.517767,26,350.748807
-61.988371,32,350.946512
-48.000109,23,351.082681
-51.223588,30,351.262621
-67.069041,35,351.488361
-47.391491,24,351.632323
-54.516064,29,351.807136
-47.42532,24,352.01566
-55.593075,30,352.206391
-54.08606,30,352.387729
-47.443975,23,352.523125
-64.027018,31,352.70821
-56.665522,29,352.893977
-47.073357,23,353.034712
-61.173193,29,353.209254
-45.257404,22,353.339468
-61.641205,30,353.53673
-66.273117,30,353.713576
-58.043068,30,353.901514
-58.401293,29,354.077343
-59.582143,34,354.289928
